Application_ID,Plot_Area,Zone_Type,FSI_Allowed,FSI_Used,Floors,Building_Height,Front_Setback,Rear_Setback,Side_Setback,Parking_Spaces_Required,Parking_Spaces_Provided,Road_Width,Fire_NOC,Env_NOC,Traffic_NOC,Green_Area_Percentage,Zone_Compliance,Approval_Status,Rejection_Reasons
APP002347,531,Commercial,1.8,2.04,18,49.21,6.04,4.72,4.7,13,19,16.99,1,0,1,39.61,1,0,"FSIExceeded, MissingNOC"
APP002348,4935,Industrial,3.0,3.56,1,56.92,6.16,3.26,3.5,38,43,12.87,1,1,1,21.21,1,0,FSIExceeded
APP002349,4378,Residential,2.5,1.99,4,18.31,5.56,5.35,3.88,18,28,12.04,1,1,1,0.49,1,1,None
APP002350,1306,Residential,2.5,2.34,7,6.18,6.23,6.86,4.06,4,7,23.1,1,1,1,1.77,0,0,ZoningViolation
APP002351,2628,Residential,1.0,0.74,1,27.13,3.9,4.29,5.37,39,45,25.95,1,1,1,18.35,1,1,None
APP002352,1269,Commercial,2.0,1.49,8,23.43,3.36,5.63,4.12,30,33,8.75,1,1,1,17.74,1,1,None
APP002353,930,Commercial,1.5,1.88,17,42.23,3.61,4.27,3.03,32,41,8.98,1,1,1,16.22,1,0,FSIExceeded
APP002354,1751,Residential,1.5,1.94,8,32.23,5.33,6.18,5.7,36,34,21.35,0,1,1,32.94,1,0,"FSIExceeded, ParkingDeficit, MissingNOC"
APP002355,1236,Residential,2.2,1.63,5,26.94,4.93,5.41,4.58,39,45,9.46,1,1,1,28.13,1,1,None
APP002356,2910,Residential,1.8,2.01,1,17.63,4.39,5.43,5.65,27,31,24.44,1,1,0,4.3,1,0,"FSIExceeded, MissingNOC"
APP002357,575,Mixed-use,2.8,2.15,15,50.57,1.61,2.83,2.13,14,18,25.89,1,1,1,14.51,1,0,SetbackDeficit
APP002358,2910,Residential,1.8,1.75,4,18.66,4.59,4.28,3.59,20,25,18.55,1,1,1,23.87,1,1,None
APP002359,1426,Commercial,2.8,2.42,7,8.01,5.49,6.96,4.26,33,42,27.8,1,1,1,15.3,0,0,ZoningViolation
APP002360,1119,Commercial,1.8,1.93,14,36.05,3.86,4.31,4.15,48,44,6.49,0,1,1,8.33,1,0,"FSIExceeded, ParkingDeficit, MissingNOC"
APP002361,1936,Residential,1.5,1.45,12,22.45,4.43,5.57,5.57,28,32,11.43,1,1,1,25.12,1,1,None
APP002362,4356,Commercial,2.0,2.26,3,44.18,2.86,1.92,2.75,40,48,24.55,1,1,1,24.09,1,0,"FSIExceeded, SetbackDeficit"
APP002363,2548,Industrial,2.0,1.92,20,9.45,7.48,6.67,3.12,14,21,28.98,1,1,1,38.98,1,1,None
APP002364,4393,Residential,1.0,1.15,18,58.15,3.35,3.38,5.41,35,31,29.05,1,1,1,22.44,1,0,"FSIExceeded, ParkingDeficit"
APP002365,1383,Mixed-use,2.8,2.73,8,15.28,4.37,6.01,4.2,20,29,6.01,0,1,0,34.97,1,0,MissingNOC
APP002366,759,Residential,2.8,2.37,2,24.64,4.57,5.45,4.18,20,22,21.16,1,1,1,37.97,1,1,None
APP002367,2110,Residential,2.8,2.05,6,31.45,5.27,6.39,5.9,4,13,6.66,1,1,0,17.39,1,0,MissingNOC
APP002368,498,Industrial,1.8,2.24,7,53.96,4.87,5.47,3.09,4,11,22.81,1,1,1,2.12,1,0,FSIExceeded
APP002369,1833,Industrial,3.0,2.91,7,44.74,3.05,3.42,3.97,27,23,24.43,1,1,1,5.74,1,0,ParkingDeficit
APP002370,2225,Mixed-use,1.5,1.1,13,12.97,5.18,3.68,3.57,7,9,26.58,1,1,1,20.16,1,1,None
APP002371,2271,Commercial,2.5,2.43,1,29.12,2.05,2.85,2.97,14,17,18.71,1,1,1,35.72,1,0,SetbackDeficit
APP002372,174,Mixed-use,2.2,1.92,8,34.86,2.79,1.89,2.67,47,42,26.4,1,0,1,26.17,1,0,"SetbackDeficit, ParkingDeficit, MissingNOC"
APP002373,4797,Industrial,3.0,3.45,13,43.62,7.74,3.3,3.99,39,49,28.17,1,0,1,8.06,1,0,"FSIExceeded, MissingNOC"
APP002374,3571,Industrial,1.8,1.46,20,36.45,7.06,4.08,3.51,28,30,18.8,1,1,1,28.04,1,1,None
APP002375,936,Commercial,1.8,2.02,19,30.15,5.3,3.51,5.59,42,44,18.58,0,1,1,35.77,1,0,"FSIExceeded, MissingNOC"
APP002376,599,Residential,2.2,1.74,17,47.11,7.44,6.86,4.24,25,25,18.14,1,1,1,1.21,1,1,None
APP002377,237,Mixed-use,2.8,2.69,13,25.79,3.61,5.11,4.73,11,12,18.11,1,1,1,9.71,1,1,None
APP002378,2197,Residential,1.5,1.19,16,59.29,7.88,4.29,5.19,17,17,24.59,1,1,1,6.13,1,1,None
APP002379,3796,Residential,2.8,2.41,15,57.13,4.32,4.18,3.25,24,32,7.62,1,1,1,31.36,1,1,None
APP002380,1985,Residential,2.8,3.4,11,43.91,7.36,5.64,5.21,48,55,16.86,1,1,1,35.66,1,0,FSIExceeded
APP002381,2857,Commercial,2.5,2.39,12,53.54,3.39,6.89,3.18,13,21,18.58,1,1,1,22.18,1,1,None
APP002382,4020,Residential,2.5,2.36,3,26.62,4.08,6.27,3.56,29,31,11.15,1,1,1,33.93,1,1,None
APP002383,2000,Residential,2.0,1.73,9,36.98,4.04,5.36,4.58,14,16,18.99,1,1,1,26.28,1,1,None
APP002384,2710,Industrial,1.2,0.85,14,20.0,2.63,1.96,2.18,19,27,16.94,1,1,1,26.27,1,0,SetbackDeficit
APP002385,4086,Residential,1.2,0.97,7,53.71,5.52,6.66,3.66,3,12,23.7,1,1,1,23.19,1,1,None
APP002386,1549,Commercial,2.8,2.49,11,30.91,7.88,6.47,4.54,47,48,14.48,1,1,1,2.0,1,1,None
APP002387,646,Residential,2.2,2.18,10,34.49,3.94,4.11,3.49,18,23,28.79,1,1,1,37.48,1,1,None
APP002388,4776,Residential,2.8,3.25,3,52.55,7.35,5.59,3.44,24,32,15.93,1,1,1,14.23,1,0,FSIExceeded
APP002389,2103,Residential,1.5,1.18,19,48.85,2.61,1.86,2.83,24,31,21.14,1,1,1,32.1,1,0,SetbackDeficit
APP002390,2196,Commercial,1.0,0.92,2,22.7,3.14,5.65,4.36,2,2,11.32,1,1,1,32.4,1,1,None
APP002391,803,Residential,2.2,2.71,17,9.81,7.63,3.34,4.29,44,40,22.53,1,1,0,38.63,1,0,"FSIExceeded, ParkingDeficit, MissingNOC"
APP002392,2503,Mixed-use,1.2,0.9,2,13.92,5.51,5.03,3.16,15,22,18.33,1,1,1,13.07,1,1,None
APP002393,1725,Residential,3.0,2.31,16,23.65,3.49,5.59,5.2,13,11,14.21,0,1,1,39.9,1,0,"ParkingDeficit, MissingNOC"
APP002394,3431,Residential,2.0,1.52,17,21.79,4.47,4.61,4.78,15,15,14.35,1,1,1,12.02,0,0,ZoningViolation
APP002395,4833,Residential,2.0,1.97,10,7.11,5.47,4.73,5.04,45,52,15.01,1,1,1,18.05,1,1,None
APP002396,3078,Residential,2.8,2.41,4,28.76,7.79,3.88,3.16,39,35,16.5,1,1,1,28.25,1,0,ParkingDeficit
APP002397,4836,Commercial,2.2,2.2,11,10.82,4.33,3.26,3.3,42,48,11.94,0,1,1,6.2,1,0,MissingNOC
APP002398,2939,Industrial,1.5,1.1,17,17.15,6.1,5.86,4.18,45,41,12.66,1,1,1,10.65,1,0,ParkingDeficit
APP002399,3484,Commercial,3.0,2.47,12,48.31,6.67,6.52,3.8,17,17,29.0,1,1,1,29.12,1,1,None
APP002400,2759,Residential,1.8,1.66,10,32.22,6.93,4.39,3.86,35,42,13.23,1,1,1,38.98,1,1,None
APP002401,1961,Residential,1.8,1.61,16,25.51,6.67,3.38,4.51,19,18,21.05,1,1,1,29.31,1,0,ParkingDeficit
APP002402,2956,Residential,1.2,1.0,4,15.2,5.38,4.22,5.72,49,48,14.29,1,0,1,34.49,1,0,"ParkingDeficit, MissingNOC"
APP002403,785,Mixed-use,1.5,1.24,3,52.65,4.58,3.28,3.56,11,17,25.46,1,1,1,1.5,1,1,None
APP002404,4383,Residential,1.8,2.2,9,54.7,1.71,1.52,2.21,20,20,22.7,1,1,1,23.08,1,0,"FSIExceeded, SetbackDeficit"
APP002405,1719,Commercial,2.5,1.84,6,33.53,3.89,4.06,3.23,31,34,13.88,1,1,1,36.56,1,1,None
APP002406,4743,Residential,1.5,1.81,12,55.67,7.27,5.38,5.91,5,3,23.2,1,1,1,27.3,1,0,"FSIExceeded, ParkingDeficit"
APP002407,1531,Residential,2.8,2.49,1,30.56,5.44,3.99,3.33,8,10,24.16,1,1,1,27.06,1,1,None
APP002408,975,Residential,2.8,2.39,14,10.9,5.84,6.96,5.51,17,26,9.32,1,1,1,8.12,1,1,None
APP002409,4813,Residential,1.2,1.39,10,5.94,3.84,3.59,3.28,38,47,19.88,1,0,1,34.45,1,0,"FSIExceeded, MissingNOC"
APP002410,2561,Commercial,1.8,1.53,18,12.06,6.68,4.81,5.2,6,6,25.39,1,1,1,34.6,1,1,None
APP002411,1465,Residential,2.8,2.91,13,39.25,1.88,2.22,2.04,40,36,7.21,1,0,1,24.56,1,0,"FSIExceeded, SetbackDeficit, ParkingDeficit, MissingNOC"
APP002412,1343,Commercial,1.0,0.8,9,22.65,4.76,5.84,5.67,34,40,18.19,1,1,1,17.06,1,1,None
APP002413,262,Residential,1.0,0.96,19,40.66,7.28,6.61,4.79,36,38,26.16,1,1,1,32.97,1,1,None
APP002414,2074,Mixed-use,1.8,1.62,4,32.94,6.43,5.91,3.06,49,59,28.87,1,1,1,18.6,1,1,None
APP002415,3391,Residential,1.2,1.07,3,23.32,2.78,2.48,1.71,35,39,21.74,1,1,0,32.9,1,0,"SetbackDeficit, MissingNOC"
APP002416,369,Industrial,1.0,0.84,6,17.03,4.22,5.96,5.92,34,38,13.87,1,1,1,19.4,1,1,None
APP002417,731,Industrial,2.8,2.01,9,9.46,6.72,3.78,5.86,40,47,20.52,1,1,1,23.19,1,1,None
APP002418,1005,Mixed-use,1.2,1.43,10,48.03,7.83,6.51,5.04,11,18,6.66,1,1,1,29.92,1,0,FSIExceeded
APP002419,3571,Residential,1.8,2.14,9,50.05,2.17,2.93,2.29,4,2,16.94,0,1,1,10.6,1,0,"FSIExceeded, SetbackDeficit, ParkingDeficit, MissingNOC"
APP002420,3353,Commercial,1.5,1.49,17,34.78,6.4,6.55,4.17,30,39,23.46,1,1,1,9.87,1,1,None
APP002421,2114,Residential,1.2,0.85,10,13.64,7.97,4.24,3.12,36,44,6.87,0,1,1,26.71,1,0,MissingNOC
APP002422,1741,Residential,2.8,2.05,6,19.49,4.72,5.45,4.3,32,38,20.48,1,1,1,38.16,1,1,None
APP002423,304,Residential,1.5,1.56,16,57.53,7.84,6.17,3.87,40,40,20.12,1,1,1,17.84,1,0,FSIExceeded
APP002424,681,Residential,3.0,2.97,17,17.43,2.24,2.52,2.19,16,24,10.55,1,1,1,35.93,1,0,SetbackDeficit
APP002425,940,Mixed-use,2.0,1.47,11,8.12,7.83,5.5,4.99,2,0,19.66,1,1,1,20.73,1,0,ParkingDeficit
APP002426,1819,Residential,3.0,2.66,20,35.25,4.44,6.2,3.05,20,23,15.83,1,0,1,38.96,1,0,MissingNOC
APP002427,2743,Commercial,1.5,1.25,7,19.41,4.42,5.37,3.16,38,45,17.49,1,1,1,31.68,1,1,None
APP002428,2397,Commercial,2.0,1.43,4,57.66,5.15,5.64,3.0,28,32,13.81,1,1,1,34.38,1,1,None
APP002429,974,Residential,2.2,2.06,10,36.61,4.75,4.13,5.58,22,30,25.45,1,1,1,27.18,1,1,None
APP002430,789,Commercial,3.0,3.15,14,58.12,6.84,3.62,3.26,8,9,14.78,1,1,1,34.74,1,0,FSIExceeded
APP002431,4100,Residential,2.8,2.9,17,48.21,7.98,3.79,4.76,44,49,24.98,1,1,1,23.71,1,0,FSIExceeded
APP002432,3241,Commercial,1.2,1.07,14,44.77,4.09,4.89,4.06,34,31,7.84,1,1,1,22.69,0,0,"ParkingDeficit, ZoningViolation"
APP002433,1522,Residential,1.2,0.96,20,50.67,6.19,4.69,5.9,3,1,12.69,1,1,1,34.95,1,0,ParkingDeficit
APP002434,771,Mixed-use,2.0,2.25,13,38.27,4.31,4.21,3.93,15,18,15.66,1,1,1,0.6,1,0,FSIExceeded
APP002435,1271,Commercial,2.0,2.46,2,5.61,6.39,4.29,4.73,43,44,15.71,0,1,1,19.15,1,0,"FSIExceeded, MissingNOC"
APP002436,3826,Mixed-use,2.0,1.53,9,26.59,4.0,3.54,4.66,4,9,16.59,1,1,1,34.8,1,1,None
APP002437,1043,Residential,1.8,1.53,3,17.05,3.43,5.27,4.88,15,20,21.66,0,1,1,7.85,1,0,MissingNOC
APP002438,1549,Residential,2.8,2.09,4,28.89,4.88,6.5,4.31,6,6,19.78,1,1,1,38.32,1,1,None
APP002439,3837,Residential,2.0,1.43,12,30.88,5.21,4.25,5.8,18,21,18.51,1,1,1,29.62,1,1,None
APP002440,2639,Residential,1.0,0.83,15,12.03,5.34,4.71,4.26,40,49,26.1,1,1,1,30.5,1,1,None
APP002441,4059,Residential,2.0,2.25,20,6.29,3.14,5.24,5.87,2,9,10.71,1,1,1,26.62,1,0,FSIExceeded
APP002442,4360,Commercial,1.0,0.81,8,12.6,6.78,5.46,3.91,44,42,26.65,1,1,1,17.9,1,0,ParkingDeficit
APP002443,2461,Residential,1.8,1.29,18,52.16,5.56,3.51,4.63,29,24,25.47,1,1,1,18.44,1,0,ParkingDeficit
APP002444,3752,Residential,1.0,1.21,5,46.57,4.47,6.02,4.18,39,46,10.7,1,1,1,33.56,1,0,FSIExceeded
APP002445,3770,Industrial,2.2,1.88,2,48.94,3.03,6.23,5.62,49,47,20.98,1,1,1,5.57,1,0,ParkingDeficit
APP002446,1853,Commercial,2.2,1.95,9,20.2,3.27,3.22,5.49,15,18,11.36,1,1,1,20.88,1,1,None
APP002447,2452,Residential,1.0,0.77,14,17.99,4.67,3.39,3.87,18,14,28.63,1,1,1,12.4,1,0,ParkingDeficit
APP002448,2038,Residential,2.8,1.99,1,7.06,4.66,3.24,5.22,16,17,17.83,1,1,1,39.37,1,1,None
APP002449,470,Residential,1.8,1.8,20,30.97,6.7,3.21,3.62,47,52,10.89,1,1,1,0.15,1,1,None
APP002450,4579,Residential,1.2,1.47,4,26.03,6.7,4.98,3.67,8,7,21.27,1,1,1,2.55,1,0,"FSIExceeded, ParkingDeficit"
APP002451,2031,Commercial,1.0,0.92,17,50.97,7.26,4.2,3.93,43,53,22.97,1,1,1,38.7,1,1,None
APP002452,524,Residential,1.5,1.6,10,42.5,1.51,2.22,2.52,8,8,20.52,1,1,1,21.75,1,0,"FSIExceeded, SetbackDeficit"
APP002453,4824,Industrial,2.5,2.03,2,12.94,3.0,5.42,3.36,48,57,11.8,1,1,1,5.54,1,1,None
APP002454,994,Commercial,2.8,2.57,6,59.29,4.02,4.89,5.5,25,30,23.65,1,1,1,17.95,1,1,None
APP002455,697,Commercial,2.0,1.94,19,47.39,3.28,3.49,4.21,27,33,28.31,1,1,1,12.91,1,1,None
APP002456,3162,Residential,2.5,2.22,9,44.61,2.72,2.75,2.31,15,19,28.85,1,1,1,36.45,1,0,SetbackDeficit
APP002457,2436,Residential,1.2,1.12,19,16.91,6.41,6.44,4.85,48,58,22.31,1,1,1,27.5,1,1,None
APP002458,4788,Commercial,1.8,1.55,19,54.78,6.18,3.74,5.46,20,24,26.17,0,1,0,5.22,1,0,MissingNOC
APP002459,1787,Residential,2.2,1.98,9,31.07,3.85,5.97,4.64,27,36,29.49,0,1,1,21.46,1,0,MissingNOC
APP002460,672,Residential,2.0,1.64,3,21.37,4.45,5.67,5.88,17,20,7.04,1,1,1,5.38,1,1,None
APP002461,2190,Residential,2.2,1.71,6,41.02,6.34,4.56,5.09,35,37,17.45,1,1,1,26.61,1,1,None
APP002462,3769,Residential,1.2,1.11,6,16.65,5.08,4.7,3.08,3,13,12.99,1,0,1,29.09,1,0,MissingNOC
APP002463,4372,Commercial,2.5,3.1,17,54.92,5.82,3.04,3.91,2,9,17.39,1,1,1,22.49,1,0,FSIExceeded
APP002464,4724,Residential,2.8,1.99,13,51.99,7.47,5.48,3.13,49,54,28.01,1,1,1,38.64,1,1,None
APP002465,1733,Residential,3.0,2.54,13,30.57,2.93,2.2,2.58,37,37,29.6,1,1,1,37.77,1,0,SetbackDeficit
APP002466,1617,Residential,2.2,1.74,7,15.49,7.91,4.43,5.57,36,40,27.72,1,1,0,8.24,1,0,MissingNOC
APP002467,4393,Commercial,2.5,2.81,9,32.31,4.74,5.82,4.17,44,51,10.73,1,1,1,0.01,1,0,FSIExceeded
APP002468,2757,Industrial,1.0,0.76,18,13.2,6.28,4.41,5.16,25,20,25.27,1,1,1,26.51,1,0,ParkingDeficit
APP002469,3748,Industrial,3.0,3.12,1,19.84,6.58,6.15,3.84,6,14,25.62,1,1,1,19.03,1,0,FSIExceeded
APP002470,3688,Residential,2.2,2.51,20,31.55,4.51,4.58,5.75,30,40,19.91,1,1,1,13.39,1,0,FSIExceeded
APP002471,1637,Residential,1.8,1.46,13,6.16,4.88,4.89,4.98,42,52,23.16,1,0,1,36.68,1,0,MissingNOC
APP002472,3237,Residential,3.0,2.26,8,47.11,7.64,6.1,4.58,2,7,27.73,0,1,1,39.14,1,0,MissingNOC
APP002473,197,Commercial,1.0,0.71,9,15.83,4.62,6.82,4.04,10,13,29.86,1,0,1,37.22,1,0,MissingNOC
APP002474,3315,Commercial,1.2,0.97,1,52.66,5.02,3.18,5.56,37,38,6.96,1,1,1,20.01,1,1,None
APP002475,4630,Commercial,1.5,1.17,9,6.22,3.48,3.42,5.8,17,14,12.17,1,1,1,28.13,1,0,ParkingDeficit
APP002476,4832,Residential,1.0,0.78,20,34.27,6.8,6.93,5.43,16,22,28.43,1,1,1,6.86,1,1,None
APP002477,3850,Commercial,1.2,0.85,11,47.72,4.18,6.6,3.52,11,14,13.9,1,1,1,38.03,1,1,None
APP002478,3257,Residential,1.2,1.53,20,18.09,2.63,2.13,1.6,38,45,8.56,1,1,1,11.35,1,0,"FSIExceeded, SetbackDeficit"
APP002479,4783,Commercial,2.5,2.34,4,43.92,3.57,6.39,3.22,17,25,13.52,1,1,1,7.71,1,1,None
APP002480,443,Residential,2.2,1.84,16,44.65,6.03,6.36,5.77,39,42,18.44,0,1,1,2.41,1,0,MissingNOC
APP002481,4766,Commercial,3.0,2.23,14,40.08,6.49,4.51,5.97,49,55,15.27,1,1,1,22.01,1,1,None
APP002482,710,Residential,2.0,1.77,20,25.03,4.0,4.01,4.31,37,38,24.92,0,1,0,37.94,1,0,MissingNOC
APP002483,1827,Residential,3.0,3.78,18,48.18,4.01,3.65,5.44,16,23,20.66,1,1,1,5.42,1,0,FSIExceeded
APP002484,2390,Commercial,3.0,3.51,9,39.56,3.96,5.33,4.89,4,5,16.44,1,1,1,4.83,1,0,FSIExceeded
APP002485,1954,Residential,1.2,1.02,1,37.47,4.02,6.24,5.68,20,27,29.93,1,1,1,10.9,1,1,None
APP002486,2708,Commercial,3.0,2.59,3,50.05,5.04,5.19,3.22,42,46,27.26,0,1,1,26.62,1,0,MissingNOC
APP002487,2179,Commercial,1.5,1.09,20,18.46,6.65,6.64,4.93,38,45,26.69,1,0,1,21.91,1,0,MissingNOC
APP002488,2424,Commercial,1.5,1.49,1,17.79,7.16,5.28,4.42,49,54,19.61,1,1,1,3.85,1,1,None
APP002489,4727,Residential,3.0,2.52,3,26.25,6.09,5.23,3.41,4,1,24.72,0,1,1,17.69,1,0,"ParkingDeficit, MissingNOC"
APP002490,1277,Residential,2.5,2.84,14,9.02,5.14,4.5,3.21,9,18,14.06,1,1,1,2.68,1,0,FSIExceeded
APP002491,1191,Commercial,2.8,2.38,14,23.56,6.91,4.19,3.35,25,27,13.92,1,1,1,34.08,1,1,None
APP002492,2891,Residential,2.5,2.55,13,27.34,6.01,4.32,3.67,15,19,27.41,1,1,1,4.28,0,0,"FSIExceeded, ZoningViolation"
APP002493,1849,Commercial,3.0,2.83,1,32.23,2.87,1.87,2.55,36,40,20.32,1,1,1,18.85,1,0,SetbackDeficit
APP002494,2775,Residential,2.8,2.25,15,18.97,7.36,6.87,3.22,17,12,14.25,1,1,1,20.42,1,0,ParkingDeficit
APP002495,881,Residential,1.8,1.57,20,54.88,7.27,6.73,4.5,8,13,26.29,1,1,1,21.21,1,1,None
APP002496,3148,Residential,1.2,1.4,7,20.68,3.28,5.79,3.33,42,44,16.62,1,1,1,24.37,1,0,FSIExceeded
APP002497,2205,Residential,2.0,1.98,16,51.84,7.59,4.05,3.09,36,39,15.6,1,1,1,28.06,1,1,None
APP002498,3967,Residential,1.2,1.01,20,29.47,4.3,4.34,5.29,9,19,6.63,1,1,1,0.17,1,1,None
APP002499,4642,Commercial,1.8,1.41,1,44.5,5.74,5.94,5.77,13,19,22.3,1,1,1,1.24,1,1,None
APP002500,2213,Commercial,1.2,1.13,15,11.1,7.39,3.94,3.22,47,56,18.78,1,1,1,24.46,1,1,None
APP002501,4070,Residential,2.0,1.55,20,34.96,2.85,2.55,2.64,17,20,13.48,0,0,1,7.29,1,0,"SetbackDeficit, MissingNOC"
APP002502,2091,Mixed-use,2.2,1.72,15,57.85,7.91,6.8,4.79,5,15,9.34,1,1,1,33.27,1,1,None
APP002503,1167,Residential,1.0,0.82,19,41.64,3.4,5.21,5.84,36,43,10.38,1,0,0,25.1,0,0,"MissingNOC, ZoningViolation"
APP002504,1677,Mixed-use,2.8,1.99,6,50.12,3.21,3.14,4.52,46,45,11.4,1,1,0,39.22,1,0,"ParkingDeficit, MissingNOC"
APP002505,1111,Commercial,1.2,1.53,6,19.36,5.16,4.21,5.55,42,43,26.76,1,0,1,29.12,1,0,"FSIExceeded, MissingNOC"
APP002506,2374,Commercial,2.0,1.65,1,49.01,1.53,1.58,2.65,46,51,17.54,1,0,1,3.63,1,0,"SetbackDeficit, MissingNOC"
APP002507,4969,Residential,2.8,2.58,16,24.32,5.67,6.44,5.05,33,29,22.69,1,1,1,6.84,1,0,ParkingDeficit
APP002508,1914,Residential,2.0,1.59,18,31.68,5.76,3.21,5.3,13,17,17.07,1,1,1,1.86,1,1,None
APP002509,2526,Residential,1.5,1.16,13,15.34,5.15,4.71,3.41,22,24,17.37,1,1,1,29.65,1,1,None
APP002510,4502,Commercial,2.2,1.92,12,31.71,7.49,6.93,4.1,16,11,25.73,1,1,0,5.07,1,0,"ParkingDeficit, MissingNOC"
APP002511,4974,Residential,1.0,0.74,18,33.36,5.18,3.23,3.7,36,39,24.51,1,1,1,26.55,1,1,None
APP002512,2651,Commercial,1.0,1.2,10,39.23,4.14,5.99,5.67,4,6,11.57,1,1,0,22.22,1,0,"FSIExceeded, MissingNOC"
APP002513,3757,Residential,2.8,2.28,14,52.77,5.84,6.96,3.04,3,8,21.02,1,1,1,25.33,1,1,None
APP002514,107,Industrial,2.5,3.07,20,21.77,7.06,3.31,3.38,7,2,22.32,1,1,1,20.35,1,0,"FSIExceeded, ParkingDeficit"
APP002515,2655,Residential,1.5,1.35,11,59.13,3.22,4.4,4.97,17,13,15.72,1,1,1,0.52,1,0,ParkingDeficit
APP002516,575,Residential,2.8,2.09,18,51.62,4.46,5.42,4.44,24,26,7.64,1,1,1,10.13,0,0,ZoningViolation
APP002517,2311,Residential,2.8,2.32,12,27.16,3.38,4.0,4.63,32,34,14.91,1,0,1,35.4,1,0,MissingNOC
APP002518,584,Residential,1.0,0.89,17,17.47,6.68,4.43,5.75,42,42,14.6,1,1,1,37.17,1,1,None
APP002519,4754,Residential,2.5,1.97,3,8.93,6.57,6.77,5.34,31,27,22.58,1,1,1,3.89,1,0,ParkingDeficit
APP002520,2385,Commercial,1.2,0.86,1,17.89,6.27,5.11,3.8,4,12,25.43,1,1,0,38.11,1,0,MissingNOC
APP002521,4663,Residential,1.2,0.91,1,53.65,5.52,3.22,5.7,17,13,15.5,1,1,0,26.82,1,0,"ParkingDeficit, MissingNOC"
APP002522,3625,Residential,1.2,0.85,6,21.06,6.11,4.12,3.61,5,6,21.5,0,1,1,36.9,1,0,MissingNOC
APP002523,3439,Industrial,2.0,1.65,19,12.59,7.88,3.92,5.23,47,53,21.43,1,1,1,16.05,1,1,None
APP002524,2922,Residential,2.5,2.53,4,6.25,4.86,6.27,3.43,37,39,21.56,1,1,1,4.07,1,0,FSIExceeded
APP002525,3024,Mixed-use,1.8,1.43,13,21.37,2.54,2.47,2.18,29,33,19.3,0,1,1,12.1,1,0,"SetbackDeficit, MissingNOC"
APP002526,358,Mixed-use,1.8,1.71,12,16.89,5.49,3.14,3.83,29,35,21.1,0,1,1,27.59,1,0,MissingNOC
APP002527,382,Residential,3.0,2.51,8,10.62,7.14,3.34,3.84,4,14,26.82,1,1,1,31.81,1,1,None
APP002528,1998,Residential,3.0,2.78,20,57.31,5.48,6.45,4.15,27,25,28.12,1,1,1,2.0,1,0,ParkingDeficit
APP002529,4235,Residential,2.5,1.95,7,19.72,4.03,3.74,4.29,40,48,8.2,1,0,1,19.48,1,0,MissingNOC
APP002530,3076,Commercial,1.8,1.8,7,5.34,4.53,5.17,4.04,14,15,6.28,1,0,1,2.57,1,0,MissingNOC
APP002531,2367,Commercial,2.8,2.21,7,56.94,6.04,6.57,5.77,8,10,18.45,1,1,1,34.54,1,1,None
APP002532,3300,Commercial,1.5,1.45,14,36.82,2.71,2.38,2.63,14,15,15.91,1,1,1,19.05,1,0,SetbackDeficit
APP002533,712,Commercial,1.5,1.55,18,9.55,7.15,4.74,4.28,5,5,16.83,1,1,1,36.59,1,0,FSIExceeded
APP002534,787,Residential,2.5,2.43,19,6.73,6.68,3.23,3.33,17,17,17.0,1,1,1,3.14,1,1,None
APP002535,3790,Industrial,3.0,2.45,20,10.93,6.61,5.71,5.58,29,38,27.48,0,0,1,13.22,1,0,MissingNOC
APP002536,712,Commercial,1.8,1.73,19,37.53,2.19,2.35,2.35,48,58,21.28,1,1,1,27.06,1,0,SetbackDeficit
APP002537,2407,Commercial,1.8,1.52,18,8.4,3.81,4.53,5.24,14,19,16.62,1,1,0,11.74,1,0,MissingNOC
APP002538,3113,Industrial,1.0,0.73,6,36.25,1.7,1.52,2.69,43,53,16.91,1,1,1,33.66,1,0,SetbackDeficit
APP002539,1881,Commercial,1.0,1.16,16,40.89,1.63,1.87,2.31,11,12,26.27,1,1,1,39.47,1,0,"FSIExceeded, SetbackDeficit"
APP002540,2691,Residential,1.5,1.21,3,13.12,4.97,5.46,4.09,6,6,11.21,1,1,1,11.25,1,1,None
APP002541,2796,Residential,2.5,2.26,2,31.86,6.91,6.24,4.82,37,32,6.35,1,1,1,14.44,1,0,ParkingDeficit
APP002542,4058,Residential,3.0,2.97,15,58.01,5.84,4.28,3.79,20,20,17.48,1,1,1,38.69,1,1,None
APP002543,674,Residential,1.8,1.58,20,51.01,5.31,4.76,4.4,31,26,29.05,1,1,1,14.32,1,0,ParkingDeficit
APP002544,2010,Mixed-use,1.2,1.48,11,44.79,2.22,2.76,1.82,48,48,25.54,1,1,1,22.24,1,0,"FSIExceeded, SetbackDeficit"
APP002545,3704,Residential,2.2,2.1,19,33.48,7.69,4.11,4.83,42,48,15.8,1,1,1,30.77,1,1,None
APP002546,769,Commercial,2.2,1.77,18,26.69,3.32,3.72,5.3,49,56,10.2,1,1,1,17.53,1,1,None
APP002547,4464,Residential,3.0,2.16,11,29.83,7.35,3.51,4.89,29,30,19.68,1,1,1,14.9,1,1,None
APP002548,1383,Residential,1.8,1.69,3,47.05,6.09,3.2,3.34,32,40,27.11,1,1,1,19.82,1,1,None
APP002549,1023,Mixed-use,2.8,2.74,4,35.49,6.42,6.44,4.74,37,40,23.21,1,1,1,31.18,1,1,None
